2019/06/29,17636634531561813709966,21:08-21:31,22.0,2640,0
2018/09/22,17636634531537602658761,15:51-16:18,26.0,3120,0
2022/02/18,17636634531645142989003,08:09-08:17,7.0,1050,0
2022/02/17,17636634531645094939255;17636634531645057040021,18:49-18:55;08:17-08:27,16.0,2400,0
2022/02/16,17636634531645020862191;17636634531644989978476,22:14-22:20;13:39-13:47,14.0,2100,0
2022/02/15,17636634531644920815314,18:26-18:36,9.0,1350,0
2022/02/14,17636634531644833914971;17636634531644818590870,18:18-18:29;14:03-14:10,17.0,2550,0
2022/02/13,17636634531644749921574;17636634531644749257461,18:58-19:06;18:47-18:53,14.0,2100,0
2022/03/08,17636634531646743828861;17636634531646699166561,20:50-21:48;08:26-08:35,67.0,10520,0
2022/03/07,17636634531646655759393;17636634531646612526309,20:22-21:20;08:22-08:30,65.0,9940,0
2022/03/05,17636634531646459788029;17636634531646445829592,13:56-14:00;10:03-11:46,106.0,15900,0
2022/03/01,17636634531646129813140,18:16-18:23,6.0,900,0
2022/02/22,17636634531645488430953,08:07-08:16,9.0,1350,0
2022/02/19,17636634531645265517025;17636634531645229695205,18:12-18:16;08:14-08:22,11.0,1650,0
2022/03/13,17636634531647171316704;17636634531647170104879;17636634531647149969292,19:35-19:46;19:15-19:20;13:39-14:49,86.0,13120,0
2022/03/12,17636634531647079486108;17636634531647044702915,18:04-18:13;08:25-08:32,15.0,2590,0
2022/03/11,17636634531646993604866;17636634531646993552210,18:13-18:21;18:12-18:12,7.0,1050,0
2022/03/10,17636634531646907428946;17636634531646871920798,18:17-18:22;08:25-08:34,12.0,2090,0
2022/03/09,17636634531646822240876,18:37-18:44,7.0,1050,0
2022/03/18,17636634531647563315563,08:28-08:30,1.0,150,0
2022/03/17,17636634531647515592905;17636634531647513713657;17636634531647489863941,19:13-19:15;18:41-18:49;12:04-12:05,10.0,1500,0
2022/03/16,17636634531647429862131;17636634531647425390461;17636634531647390150887,19:24-19:31;18:09-18:13;08:22-08:24,12.0,1400,0
2022/03/15,17636634531647338641485;17636634531647324028929,18:04-18:05;14:00-14:02,2.0,300,0
2022/03/14,17636634531647253987507,18:33-18:34,1.0,150,0
2022/06/06,17636634531654519951062;17636634531654512886409;17636634531654528067769,20:52-21:05;18:55-19:12;23:08-23:19,40.0,7290,0
2022/05/12,17636634531652325175622,11:13-11:19,5.0,950,0
2022/04/10,17636634531649553724442,09:22-09:33,10.0,1500,0
2022/03/27,17636634531648376289138,18:18-18:33,15.0,2250,0
2022/03/24,17636634531648101353095;17636634531648096934864,13:55-13:57;12:42-12:44,3.0,450,0
2022/03/23,17636634531648046004863,22:33-22:34,1.0,150,0
