bizId,orderId,bikeId,startTimestamp,endTimestamp,distanceMeter,payStatus,showRidingStatus,originFeeCent,actualFeeCent,carbonEmissionsGram,discountDesc,penaltyDesc
1,17636634531682334633777,8643988402,1682334636000,1682337396000,6900,1,0,300,0,336.03,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531682297594830,8643408395,1682297597000,1682298173000,1350,1,0,150,0,65.745,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682294631767,8643462699,1682294637000,1682295058000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682256688988,8643462699,1682256698000,1682257156000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682247430609,8643467736,1682247433000,1682249454000,4950,1,0,300,0,241.065,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531682244858761,8643271944,1682244861000,1682245155000,600,1,0,150,0,29.22,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682210827993,8644054685,1682210830000,1682211958000,2700,1,0,150,0,131.49,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682207480601,8643363358,1682207483000,1682207875000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682591046385,8643272660,1682591049000,1682598046000,17400,1,0,600,0,847.38,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531682557855350,8643477963,1682557857000,1682558476000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682554064539,8643363779,1682554080000,1682555273000,2850,1,0,150,0,138.795,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682508424952,8643363779,1682508434000,1682514650000,15450,1,0,600,0,752.415,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531682507947281,8644006319,1682507949000,1682508413000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682505324483,8643345996,1682505326000,1682507939000,6450,1,0,300,0,314.115,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531682471141971,8643267454,1682471144000,1682471444000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682467533499,8643415027,1682467535000,1682468658000,2700,1,0,150,0,131.49,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682420547586,8643415027,1682420550000,1682423837000,8100,1,0,300,0,394.47,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531682417321554,8643271148,1682417324000,1682417711000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682995105717,8643345761,1682995141000,1682998007322,7050,1,0,300,0,343.335,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531682935937004,8643270717,1682935938000,1682936628000,1650,1,0,150,0,80.355,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682925111491,8643418207,1682925113000,1682925495000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682922602441,8643417180,1682922605000,1682923764000,2850,1,0,150,0,138.795,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682861870808,8643279429,1682861874000,1682869098000,18000,1,0,600,0,876.6,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531682687068229,8643279429,1682687070000,1682693088000,15000,1,0,600,0,730.5,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531682678965145,8643424657,1682678967000,1682684707000,14250,1,0,600,0,693.975,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531682645626058,8644013447,1682645627000,1682645931000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682643110442,8643272660,1682643113000,1682643440000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531682598106239,8643272660,1682598108000,1682605032000,17250,1,0,600,0,840.075,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531624761094931,8642076099,1624761097000,1624761495000,720,1,0,150,0,33.3,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624718630691,8651395547,1624718633000,1624718981000,600,1,0,150,0,27.7,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624627023406,8641708426,1624627025000,1624627228000,360,1,0,150,0,16.6,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624542466205,8651887212,1624542467000,1624542615000,240,1,0,150,0,11.1,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624496657469,8652246329,1624496657000,1624496735182,120,1,0,150,0,5.5,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624496466875,8651537610,1624496469000,1624496480000,0,1,0,0,0,0.0,,[]
1,17636634531624409449276,8651890799,1624409450000,1624409637000,360,1,0,150,0,16.6,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624367909078,8643037206,1624367911000,1624368841000,1800,1,0,150,0,83.3,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624354244258,8651705283,1624354247000,1624355755000,3000,1,0,150,0,138.9,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531624352927021,8651705283,1624352927000,1624353345000,720,1,0,150,0,33.3,ÓÅ»ÝµÖ¿Û1.5Ôª,[]
1,17636634531683282531029,8643352095,1683282534000,1683283068000,1200,1,0,150,0,58.44,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683249053153,8643425901,1683249054000,1683249374000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683246366328,8643419588,1683246369000,1683246732000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683183797695,8644077932,1683183799000,1683184399000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683181345949,8643940276,1683181348000,1683181819000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683163032946,8643292881,1683163033000,1683163424000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683159421248,8644023346,1683159425000,1683160524000,2700,1,0,150,0,131.49,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683106223244,8643304316,1683106227000,1683106431000,450,1,0,150,0,21.915,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683087586854,8643304316,1683087590000,1683087854000,600,1,0,150,0,29.22,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683001485608,8644023346,1683001488000,1683001831000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683543994681,8643403788,1683543998000,1683545822000,4500,1,0,150,0,219.15,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683541392168,8643480546,1683541394000,1683542127000,1800,1,0,150,0,87.66,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
